Year,Player,Pos,Tm,G,PER, Salary ,MP,3P,2P,FT,TRB,AST,STL,BLK,TOV,PF,PTS,Archetype
1980,Dave Greenwood,PF,CHI,82,16.2,,34,0,6.1,4.1,9.4,2.2,0.7,1.6,2.6,3.8,16.3,All Star Big Man
1980,Terry Crosby,PG,KCK,4,3.5,,7,0,0.5,0.5,0.3,1.8,0,0,1.3,1,1.5,Ignorance
1980,Kevin Restani,SF,SAS,82,13.9,,24,0.1,4.4,1.6,4.7,2.3,0.7,0.1,1.6,2.3,10.7,Playmaker
1980,Bo Ellis,PF,DEN,48,12.1,,10.5,0,1.3,0.8,2.4,0.6,0.2,0.5,0.5,1.4,3.4,Ignorance
1980,Dudley Bradley,SG,IND,82,13.5,,24.7,0,3.3,1.7,2.7,3.1,2.6,0.6,2,2.4,8.4,Playmaker
1980,Bob Lanier,C,TOT,63,20.4,,33.8,0,7.4,4.4,8.8,2.9,1.2,1.4,2.6,3.2,19.2,All Star Big Man
1980,Roy Hamilton,PG,DET,72,9.1,,15.5,0,1.6,1.4,1.5,2.7,0.7,0.1,1.6,1.1,4.6,Sharpshooter
1980,Duck Williams,PG,UTA,77,8.6,,23.3,0,3,0.5,1.4,2.4,1.3,0.1,1.4,2.2,6.6,Playmaker
1980,Steve Malovic,PF,TOT,39,7.2,,11.4,0,0.8,0.5,2.2,0.7,0.2,0.2,0.6,1.3,2.1,Ignorance
1980,John Long,SG,DET,69,16.4,,34.3,0,8.5,2.3,4.9,3,1.9,0.4,3,3.2,19.4,All Star Post Scorer
